,Influencers,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
213,realDonaldTrump,Wed Jun 27 02:47:23 +0000 2018,The Democrats are in Turmoil! Open Borders and unchecked Crime a certain way to lose elections. Republicans are for… https://t.co/srI2CTyDds,-0.784,0.08,0.345,0.575,87
214,realDonaldTrump,Wed Jun 27 02:18:31 +0000 2018,"Wow! Big Trump Hater Congressman Joe Crowley, who many expected was going to take Nancy Pelosi’s place, just LOST h… https://t.co/4TuokLaPMJ",-0.3237,0.136,0.219,0.645,86
215,realDonaldTrump,Wed Jun 27 02:05:19 +0000 2018,"Tremendous win for Congressman Dan Donovan. You showed great courage in a tough race! New York, and my many friends… https://t.co/JvRCgZpcG8",0.8977,0.394,0.052,0.554,85
216,realDonaldTrump,Wed Jun 27 01:52:50 +0000 2018,Congratulations to Governor Henry McMaster on your BIG election win! South Carolina loves you. We are all proud of… https://t.co/jWLZKh1S99,0.9412,0.48,0.0,0.52,84
217,realDonaldTrump,Tue Jun 26 20:12:05 +0000 2018,"Today, we tell the story of an incredible HERO who defended our nation in World War Two – First Lieutenant Garlin M… https://t.co/nrpii7C3KK",0.1111,0.153,0.138,0.708,83
218,realDonaldTrump,Tue Jun 26 14:40:42 +0000 2018,SUPREME COURT UPHOLDS TRUMP TRAVEL BAN. Wow!,0.6239,0.503,0.259,0.239,82
219,realDonaldTrump,Tue Jun 26 13:30:44 +0000 2018,“The most profound question of our era: Was there a conspiracy in the Obama Department of Justice and the FBI to pr… https://t.co/EY5JfbWzmt,0.0,0.127,0.127,0.746,81
220,realDonaldTrump,Wed Jun 27 23:14:58 +0000 2018,Just landed in North Dakota with @SenJohnHoeven and @RepKevinCramer. We will see everyone at Scheels Arena shortly! https://t.co/pakUigKB61,0.0,0.0,0.0,1.0,80
221,realDonaldTrump,Wed Jun 27 21:18:03 +0000 2018,"Today, it was my great honor to welcome President Marcelo Rebelo de Sousa of Portugal to the @WhiteHouse!🇺🇸🇵🇹 https://t.co/yd37K4Ei8R",0.8908,0.398,0.0,0.602,79
222,realDonaldTrump,Wed Jun 27 20:28:58 +0000 2018,Heading to North Dakota to fully stand with and endorse Kevin Cramer for Senate. He is an extraordinary Congressman… https://t.co/qMniRSctDT,0.3182,0.108,0.0,0.892,78
223,realDonaldTrump,Wed Jun 27 19:13:34 +0000 2018,Statement on Justice Anthony Kennedy. #SCOTUS https://t.co/8aWJ6fWemA,0.5267,0.362,0.0,0.638,77
224,realDonaldTrump,Wed Jun 27 17:33:03 +0000 2018,"Today, I was thrilled to join student leaders from Colleges and Universities across the country... https://t.co/OQp3NcOeE4",0.6249,0.282,0.0,0.718,76
225,realDonaldTrump,Wed Jun 27 15:26:24 +0000 2018,"Harley-Davidson should stay 100% in America, with the people that got you your success. I’ve done so much for you,… https://t.co/kNmruD0swh",0.5719,0.156,0.0,0.844,75
226,realDonaldTrump,Wed Jun 27 14:11:05 +0000 2018,"Supreme Court rules in favor of non-union workers who are now, as an example, able to support a candidate of his or… https://t.co/zZlPRIgB26",0.8402,0.321,0.0,0.679,74
227,realDonaldTrump,Wed Jun 27 12:39:56 +0000 2018,"HOUSE REPUBLICANS SHOULD PASS THE STRONG BUT FAIR IMMIGRATION BILL, KNOWN AS GOODLATTE II, IN THEIR AFTERNOON VOTE… https://t.co/7NPrGsNjNW",0.7626,0.279,0.0,0.721,73
228,realDonaldTrump,Wed Jun 27 11:18:02 +0000 2018,"Congratulations to Maxine Waters, whose crazy rants have made her, together with Nancy Pelosi, the unhinged FACE of… https://t.co/CusnE1izm7",0.0516,0.159,0.191,0.65,72
